AAAS124,AAAS,American Protest Music,"THis course focuses on protest music in AMErica during THe 20TH and 21st cENTuries. We will examine how music has been usED THroughout AMErican HIStory to articuLATe THe SOCial and polITical concerns of AMEricans. As we examine GENres such as folk music, THe blues, punk, rock ’n roll, hip hOP, and funk, we will focus on how artists wIThin each GENre musically and verbally EXPressED THe existENTial realITies facing AMErican culture. We will also look CLosely at SPecific SOCial moveMEnts and polITical evENTs - such as THe labor moveMEnt, THe civil rights moveMEnt, THe Vietnam war, woMEn's liberation, LGBTQ activism, and THe Black Lives Matter MoveMEnt, among oTHers - to understand how THe music in each era imPActED, and was imPActED by, THe AMErican SOCiocultural milieu. "
AAAS140,AAAS,Religion and Black Pop Music,"THis course will examine THe RELationship between THe RELigious and THeological belieFS of AFRican AMErican musicians and THEIr musical artiSTRy. We will journey THrough various AFRican AMErican music GENres of THe 20TH cENTuryblues, JAZz, goSPel, soul, funk, hip hOP, etcand will study how RELigion has inFLuenCED performance style, lyrical contENT, vocalITy, MElodic and harmonic contour, among a host of oTHer factors."
AAAS142,AAAS,African-American History II since 1900,"THis course will presENT an INTRoductory survey of THe HIStory of AFRican AMErican life FRom THe mid-nineTEEnTH cENTury to THe presENT. We will focus largely on AFRican AMErican HIStory in NorTH AMErica and THe UnITED STATes, but we will consider THis HIStory in THe broader context of Black diaSPoric and Atlantic world HIStory during THis tiME period. THe course will cover US RECOnSTRuction’s rise and fall, THe rise and fall of THe Jim Crow regiME, and THe period of tiME bookendED by THe Civil Rights MoveMEnt and THe Black Lives Matter uprisings of THe PAst decade. We will focus eSPecially on THe question of Black self-determination: how Black AMErican communITies and INDividuals have HIStorically deFINED and sought to achieve self-determination; how THese deFINITions and STRuggles have boTH shaPED and been shaPED by THe DOMinant polITical, ECOnomic, and SOCial STRuctures of THe UnITED STATes; and how THese deFINITions and STRuggles have changED over tiME. THe course will PAy PArticular attENTion to THe polITical, SOCial, and cultural moveMEnts THat deFINED THese eras, and how THese various moveMEnts challENGED, contRADictED, and/or shaPED one anoTHer. We will focus eSPecially on THe ways THat GENder, CLass, sexualITy, and nationalism shaPED THese moveMEnts. "
AAAS156,AAAS,Intro to African-American Literature,"THis course surveys AFRican AMErican lITerature of various GENres—fiction, poetry, drama, and autOBiograPHY—FRom THe LATe-nineTEEnTH cENTury to THe presENT. As a CLass, we will work togETHer to iDENtify persistENT THeMEs in AFRican AMErican lITerature and investigate continuITies and evoLUTions in THe ways AFRican AMErican wrITers have approaCHEd THose THeMEs across tiME, SPace, and lITerary moveMEnts. Along THe way, stuDENts can EXPect to learn how to ANAlyze lITerary texts in terms of boTH form and contENT.While THis course is groundED in lITerature, stuDENts will have regular OPPORtunITies to place course texts in interdiscipLINary contexts, drawing connections to Black Lives Matter, CLimate justice, crITical race THeory, etc. FeaturED auTHors may inCLude FREDerick Douglass, AngeLINa Weld Grimké, JAMEs Weldon Johnson, Nella Larsen, Toni Morrison, and Ross Gay."
AAAS165,AAAS,Introductory Mbira Ensemble,THe EAStman MBIra ENSemble provides a hands-on INTRoduction to THe anciENT and sOPHISticatED musical tRADITion of THe Shona MBIra of Zimbabwe. VisITing Zimbabwean guest artists will also offer stuDENts THe OPPORtunITy to delve more deeply into tRADITional musical practices and THEIr cultural and SPirITual context. Songs are taught aurally so no musical EXPerience or training is requirED. May be repeatED for crEDIT.
AAAS168,AAAS,West African Drumming Beg,"LED by MASTer DrumMEr FANA Bangoura, THe West AFRican Drumming ENSemble is dEDicatED to THe dynamic percussive tRADITions of Guinea. THe ENSemble coMBInes THe iconic djembe hand drum wITh a trio of drums playED wITh sticks, known as dunun, sanGBAn, and kenkeni. THe powerful, multi-PArt RELationships establishED by THis trio of drums provide a rhyTHmic foundation for THe ENSemble, enabLINg djembe players to develOP TEChnique in executing boTH ACComPAniMEnt and solo PArts. Drawing upon HIS EXPerience as a soloist wITh THe internationally ACClaiMEd groups Les Percussions de Guinée and Les Ballets AFRicaINS, FANA ENGages ENSemble players wITh a wide repertory of music FRom various regions of Guinea, inCLuding THe rhyTHms of THe Susu, MaLINke, and Baga language groups."
AAAS183,AAAS,Incarceration Nation,"How does a country wITh five percENT of THe world's pOPuLATion, a country THat nominally values FReEDom above all else, coME to have nearly a quarter of THe world's incarceratED peOPle? In THis survey course we investigate THe HIStory of imprisonMEnt in THe UnITED STATes--as THeorizED and as practiCED--FRom THe founding of THe republic to THe presENT day. SPecial attENTion is PAid to THe polITics, ECOnomics, race polITics, and RELigious logics of conTEMPORary mass incarceration, and to THe efforts afoot to end mass incarceration."
AAAS184,AAAS,Sansifanyi W African Dan-Drum,"Sansifanyi is an ENSemble THat provides various performance OPPORtunITies boTH on and off-campus for interMEdiate and advanCED stuDENts of AFRican DANCe & drumming. INStructor Kerfala Bangoura traINS ENSemble MEmbers in a performance style THat integrates DANCe, drumming, vocal song, and narrative eleMEnts. DANCers who enroll in Sansifanyi will learn choreograPHic TEChniques for West AFRican DANCe and gain EXPerience DANCing as soloists. DANCers will also learn focus on rhyTHmic timing and on drumming while DANCing. DrumMErs enrollED in Sansifanyi will learn extendED percussion arrangeMEnts and TEChniques for ACComPAnying choreograPHY. THey will also learn how to play THe breaks requirED of lead drumMErs. PrerequisITes: One of THe following: DANC181 & 182, DANC 283, DANC 253, DANC 285. For DrumMErs one of THe following: MUSC 168A, MUSC 168B, MUSC 146 OR to audITion, email kerfala.bangoura@gmail.com. "
AAAS200,AAAS,Cltrl Politics Prison Towns,"RoCHEster sITs in one of THe world’s most EXPlicITly carceral landscapes, wITh more THan a dozen STATe prisons wIThin a 90 min drive. THis co-taught course is a collaborative ETHnograPHic research project designED to examine how THe presence of prisons in towns around RoCHEster reFLects and shapes THe polITical, ECOnomic, and cultural lives of THose who live in THe region. StuDENts will be INTRoduCED to METHods and practices of ETHnograPHY and conduct firsTHand research on THe cultural polITics of prison towns. THrough assignED reading, stuDENts will learn about THe HIStory, SOCiology, and cultural logics of RoCHEster and THe wider region, and of mass incarceration. What does a prison MEan for a person living near one? How does THe presence of prisons shape peOPle’s notions of justice, cITizENShip, and punishMEnt? How do THese nearby but largely invisible INStITutions shape THe ways THat we live in RoCHEster? RECOmMEndED prior courses: INTRoduction to Cultural ANTHrOPology or Incarceration Nation"
AAAS201,AAAS,North Africa and the Middle East since 1838,"NorTH AFRica and THe Middle EASt is in a MEss: INStead of democrACY, THe Arab SPring deliverED a milITary dictatorship to Egypt; Iraq and Syria are MElting into warring tribal enCLaves; Saudi Arabia is waging a savage war in YeMEn; and THe PAlestinians remain an unproTECtED STATeless peOPle. THere is a crisis, and THis course INTRoduces stuDENts to THe prEDicAMEnt, arguing THat since THe first INDuSTRial RevoLUTion in ENGland, THe peOPles of NorTH AFRica and THe Middle EASt have refashionED THEIr destinies in PArtnership wITh THe West. StuDENts will examine how THe following encounters hELPED make THe region as we know IT: THe Anglo-TURKish ConvENTion of 1838, transITion FRom Ottoman to West EurOPean colonialism, discovery of huge and EASily extractable oil reserves, creation of THe STATe of Israel, THe Iranian RevoLUTion of 1979, and THe US Invasion of Iraq in 2003. THe CLass will also EXPlore how THe above PAtterns of ENGageMEnt shaPED THe HIStories of THe region's working CLasses, woMEn, and THe pEASantry."
